epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1685.59,0.77051,1.02955,1.21783,0.96675,0.39295,0.42426,0.30161,1.77394,2.36414,1.48685,2.7222e-05,2.7222e-05,2.7222e-05
68,1709.62,0.98225,1.2303,1.3825,0.96675,0.39295,0.42426,0.30161,1.77394,2.36414,1.48685,2.68451e-05,2.68451e-05,2.68451e-05
69,1732.83,0.6084,0.60282,1.00078,0.97493,0.39627,0.4255,0.30199,1.77085,2.36523,1.49202,2.64447e-05,2.64447e-05,2.64447e-05
70,1756.3,1.07882,1.12384,1.4085,0.97493,0.39627,0.4255,0.30199,1.77085,2.36523,1.49202,2.60207e-05,2.60207e-05,2.60207e-05
71,1779.04,0.75658,0.57661,1.13622,0.97493,0.39627,0.4255,0.30199,1.77085,2.36523,1.49202,2.55731e-05,2.55731e-05,2.55731e-05
72,1802.17,0.71098,0.75434,1.09376,0.77867,0.4,0.42516,0.30145,1.76374,2.36598,1.47594,2.5102e-05,2.5102e-05,2.5102e-05
73,1825.76,0.49734,0.65719,0.94981,0.77867,0.4,0.42516,0.30145,1.76374,2.36598,1.47594,2.46073e-05,2.46073e-05,2.46073e-05
74,1849.17,0.78788,0.78934,1.22479,0.77867,0.4,0.42516,0.30145,1.76374,2.36598,1.47594,2.40891e-05,2.40891e-05,2.40891e-05
75,1872.46,0.78561,0.96247,1.32814,0.76501,0.4,0.42479,0.30131,1.74762,2.3681,1.46121,2.35472e-05,2.35472e-05,2.35472e-05
76,1896.02,0.5944,0.71696,1.0818,0.76501,0.4,0.42479,0.30131,1.74762,2.3681,1.46121,2.29819e-05,2.29819e-05,2.29819e-05
77,1919.07,0.7199,0.9464,1.16725,0.76501,0.4,0.42479,0.30131,1.74762,2.3681,1.46121,2.23929e-05,2.23929e-05,2.23929e-05
78,1942.4,0.55908,0.73451,1.04002,0.89534,0.4,0.42618,0.30217,1.76443,2.36693,1.46341,2.17805e-05,2.17805e-05,2.17805e-05
79,1965.84,0.65026,0.93862,1.12299,0.89534,0.4,0.42618,0.30217,1.76443,2.36693,1.46341,2.11444e-05,2.11444e-05,2.11444e-05
80,1988.7,0.72264,0.73249,1.23371,0.89534,0.4,0.42618,0.30217,1.76443,2.36693,1.46341,2.04848e-05,2.04848e-05,2.04848e-05
